steam_developer,avg_owners,avg_positive
"Steel Wool Studios",1907970.0000,88.0000
"Strange Scaffold",11340.0000,98.0000
"Stratagem Blue",40470.0000,96.0000
"Stray Fawn Studio",219270.0000,92.0000
"Stress Level Zero",512910.0000,94.0000
"Studio 397",364980.0000,72.0000
"Studio 568",8160.0000,88.0000
"Studio Doodal",3570.0000,75.0000
"Studio MDHR Entertainment Inc",5528340.0000,96.0000
"Studio Wildcard Grove Street Games Instinct Games",2687850.0000,59.0000
"Studio Wildcard Instinct Games Efecto Studios Virtual Basement LLC",17213070.0000,84.0000
StunForge,80760.0000,86.0000
"Stunlock Studios",3213960.0000,87.0000
Sublime,78210.0000,84.0000
"Sucker Punch Productions Nixxes Software",1764930.0000,92.0000
"SUN AND SERPENT creations",29400.0000,95.0000
Sunblink,250410.0000,92.0000
"Super Evil Megacorp",81870.0000,87.0000
"Supergiant Games",5755350.0000,94.0000
Superkami,182790.0000,69.0000
"Supernova Games Studios",207960.0000,86.0000
"System Era Softworks",3491850.0000,89.0000
"Tactical Adventures",303885.0000,78.5000
"TaleWorlds Entertainment",6637950.0000,85.0000
"Tarsier Studios",1080400.0000,87.0000
"Team Cherry",12597315.0000,93.5000
"Team PEAK",7307850.0000,92.0000
"Team Soda",2423550.0000,85.0000
"Team17 Digital Ghost Town Games",155040.0000,65.0000
Techland,3182370.0000,77.5000
"Tellus Games",34650.0000,84.0000
Tempo,330420.0000,57.0000
"The Astronauts",402450.0000,90.0000
"The Behemoth",3167280.0000,95.0000
"The Fun Pimps",8115240.0000,85.0000
"The Game Bakers",394770.0000,94.0000
"The Game Kitchen",1492590.0000,91.0000
"The Indie Stone",9968670.0000,91.0000
"The Rat Zone",93780.0000,99.0000
"The Sims Studio Maxis",918870.0000,75.0000
Tiburon,132300.0000,65.0000
"Titan Forge Games",232920.0000,56.0000
tobyfox,5606985.0000,96.5000
"ToGo Games",6360.0000,83.0000
"Too Kyo Games MediaVision Inc",193770.0000,86.0000
"Torn Banner Studios",1271970.0000,76.0000
"Toxic Dog",1117560.0000,79.0000
"Trepang Studios",418980.0000,92.0000
Treyarch,888290.0000,88.0000
"Treyarch Aspyr Mac",4519950.0000,89.0000
"Treyarch Raven Software Beenox High Moon Studios Sledgehammer Games Infinity Ward Activision Shanghai Demonware",4232910.0000,42.3333
"Treyarch Raven Software High Moon Studios Beenox Activision Shanghai Sledgehammer Games",611220.0000,83.0000
"Triassic Games",144930.0000,88.0000
"Tribute Games Inc",29070.0000,87.5000
"Triiodide Studios",859050.0000,88.0000
Trioskaz,701790.0000,94.0000
"Tripwire Interactive",447660.0000,43.0000
"Triumph Studios",473400.0000,80.0000
TRUSO,61200.0000,92.0000
"TT Games Double Eleven",33300.0000,87.0000
"turbolento games",513120.0000,96.0000
"Turn 10",343350.0000,57.0000
"Turning Wheel LLC",295170.0000,87.0000
"Turtle Rock Studios",1626960.0000,70.0000
"Tuxedo Labs",3473310.0000,94.0000
TVGS,7789440.0000,96.0000
"Two Point Studios",246870.0000,96.0000
Ubisoft,1540950.0000,78.5000
"Ubisoft  San Francisco Ubisoft  Osaka",456660.0000,76.0000
"Ubisoft Entertainment",1249260.0000,48.0000
"Ubisoft Ivory Tower",557670.0000,71.0000
"Ubisoft Mainz",581730.0000,68.0000
"Ubisoft Montreal",19074630.0000,71.0000
"Ubisoft Montreal Red Storm Ubisoft Shanghai Ubisoft Toronto Ubisoft Kiev",5036610.0000,82.0000
"Ubisoft Montreal Ubisoft Quebec Ubisoft Toronto Blue Byte",3122640.0000,64.0000
"Ubisoft Paris",1141380.0000,75.0000
"Ubisoft Paris Ubisoft Annecy Ubisoft Bucharest Ubisoft Montpellier Ubisoft Milan Reflections Ubisoft Belgrade",2658630.0000,76.0000
"Ubisoft Quebec Ubisoft Belgrade Ubisoft Bordeaux Ubisoft Bucharest  Craiova Ubisoft Chengdu Ubisoft Montpellier Ubisoft Montreal Ubisoft Osaka Ubisoft Philippines Ubisoft Shanghai Ubisoft Singapore Ubisoft Sofia Ubisoft Ukraine",925290.0000,66.0000
